Fishes	Moray eels	Whitetip Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	intesi 																																																																										
Fishes	Moray eels	Giant Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	javanicus 																																																																										
Fishes	Moray eels	Kidako Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	kidako 																																																																										
Fishes	Moray eels	"Brown Moray-eel, Long Moray, Yellow-gilled Reef-eel, Yellowgill Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	longinquus 																																																																										
Fishes	Moray eels	"Blackpearl Moray, Pearly Moray, Pearly Reef-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	margaritophorus 																																																																										
Fishes	Moray eels	"Many-banded Moray-eel, Manyband Moray, McCosker's Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	mccoskeri 																																																																										
Fishes	Moray eels	"Blackspot Moray, Dwarf Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	melatremus 																																																																										
Fishes	Moray eels	"Guineafowl Moray, White-mouth Moray, White-spotted Moray, Whitemouth Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	meleagris 																																																																										
Fishes	Moray eels	Smallspot Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	microstictus 																																																																										
Fishes	Moray eels	"Lesser Moray, Reticulated Moray-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	minor 																																																																										
Fishes	Moray eels	Monotone Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	monochrous 																																																																										
Fishes	Moray eels	"Cloudy Moray, Grey Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	nubilus 																																																																										
Fishes	Moray eels	"Yellow-mouth Moray, Yellowmouth Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	nudivomer 																																																																										
Fishes	Moray eels	"Marbled Reef Eel, Obese Moray, Southern Reef-eel, Speckled Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	obesus 																																																																										
